NL_query,Gold_SQL_query
Which are the columns related to business terms created in the past year.,select t3.short_name from node_business_term as t1 join edge_assoc_term_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.creation_date >= now() - interval '365 days'
Give me the creation date and last modified date for the 25 biggest tables in the lake by the number of columns.,"select short_name, creation_date, modified_date, num_rows from node_table order by num_cols desc limit 25"
Give the count of asset types in the system.,select count(distinct type_id) from node
What are the files id in the folder named 'production'?,select distinct(target_node_id) from edge_has_dir_file as t1 join node_directory as t2 on t1.source_node_id = t2.node_id where t2.short_name = 'production'
Show the creation date and description for the column named 'ccid'.,"select creation_date, description from node_column where short_name = 'ccid'"
Show the database type and last modified date for all databases that were last modified in the past 30 days.,"select short_name, database_type, modified_date from node_database where modified_date >= now() - interval '30 days'"
Order all assets in descending order of their last modified timestamp.,select short_name from node order by modified_date desc
Show the first 10 classification labels created.,"select short_name, creation_date from node_classification order by creation_date asc limit 10"
Count the columns associated with each classification asset in the lake that has 'nyc' as a prefix.,"select t1.short_name, count(*) from node_classification as t1 join edge_assoc_class_col as t2 on t1.node_id = t2.source_node_id where t1.short_name like 'nyc%' group by t1.node_id, t1.short_name"
Find all columns conatined by the tables in the lake catalog. Display the name and description for the relationship.,"select short_name, description from edge_has_table_col"
What are the joinable table pairs found in the last 24 hours?,select t1.short_name from node_table as t1 join edge_joinable_table_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t2.creation_date >= now() - interval '24hours'
Display the creation date and last modified date for the pay history table.,"select creation_date, modified_date from node_table where short_name = 'employee_pay_history'"
What are the columns associated with at least one classification term?,select distinct t1.short_name from node_column as t1 join edge_assoc_class_col as t2 on t1.node_id = t2.target_node_id
How many directories are present in the data lake?,select count(*) from node_directory
Show all records for derived table relationships.,select * from edge_derive_table_table
"List the id, short name, long name and description for all business terms.","select node_id, short_name, long_name, description from node_business_term"
How many columns has each business term been assigned to in the past 20 days?,"select t1.node_id, t1.short_name, count(*) from node_business_term as t1 join edge_assoc_term_col as t2 on t1.node_id = t2.source_node_id where t2.creation_date >= now() - interval '20 days' group by t1.node_id, t1.short_name"
Show table records for the top 3 tables by number of columns.,select * from node_table order by num_cols limit 3
"For each asset type, how many assets are present in the lake?","select type_name, count(*) from node group by type_id, type_name"
Order assets by their id.,select short_name from node order by node_id asc
Find all owner accounts with the word 'research' in it's name or description.,select short_name from node_owner where short_name like '%research%' or description like '%research%'
How many classifications are owned by each user?,"select t1.node_id, t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_classification as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
What are the total number of assets possessed by each account?,"select t1.short_name, count(*) from node as t1 join edge_own as t2 on t1.node_id = t2.source_node_id group by t1.node_id,  t1.short_name"
How many assets does each owner account own?,"select t1.short_name, count(*) from node as t1 join edge_own as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name"
Show the size of the 10 biggest csv files in the lake sorted in descending order of their sizes.,"select short_name, fsize from node_file where extension = 'csv' order by fsize desc limit 10"
Show the long name for the BOM table.,select long_name from node_table where short_name = 'bill_of_materials'
Show the last modified date for all columns in the lake.,select modified_date from node_column
List all assets owned by the user with user id '91'.,select t1.short_name from node as t1 join edge_own as t2 on t1.node_id = t2.target_node_id where t2.source_node_id = 91
Find all asset owners whose full name is John Smith.,select short_name from node_owner where long_name = 'John Smith'
What are the creation times for all folders in the data lake?,"select short_name, creation_date from node_directory"
Print the creation date and last modified date for the product description id column.,"select creation_date, modified_date from node_column where short_name = 'p_desc_id'"
List all tables that are unionable with the table 'swim_for_life'.,select t1.short_name from node_table as t1 join edge_unionable_table_table as t2 on t1.node_id = t2.target_node_id join node_table as t3 on t2.source_node_id = t3.node_id where t3.short_name = 'swim_for_life'
Which nodes have the ternm 'subcat' in it's name or description?,"select short_name, description from node where short_name like '%subcat%' or description like '%subcat%'"
Which tables have more than 25 rows in them?,select short_name from node_table where num_rows > 25
Show the name and descriptions for all columns associated with the classification 'timestamp'.,"select t3.short_name, t3.description from node_classification as t1 join edge_assoc_class_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'timestamp'"
Which are the directories in the data lake that were created in the past 24 hours?,select short_name from node_directory where creation_date >= now() - interval '24 hours'
Show the column names and descriptions for all columns in the currency rate table.,"select t3.short_name, t3.description from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'new_fact_currency_rate'"
List all users who own less than 5 assets,"select t1.node_id, t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name having count(*) < 5"
List sizes and descriptions for all files belonging to owner id 3.,"select t1.short_name, t1.fsize, t1.description from node_file as t1 join edge_own as t2 on t1.node_id = t2.target_node_id where t2.source_node_id = 3"
Print all integer columns in the data lake.,select short_name from node_column where col_type = 'int64'
Find the number of columns inside each table that have a classification label that contains the term 'phone' in it.,"select t1.node_id, t1.short_name, count(*) from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join edge_assoc_class_col as t3 on t2.target_node_id = t3.target_node_id join node_classification as t4 on t3.source_node_id = t4.node_id where t4.short_name = 'phone' group by t1.node_id, t1.short_name"
How many tables can be unioned with each table in the lake?,"select t1.node_id, t1.short_name from node_table as t1 join edge_unionable_table_table as t2 on t1.node_id = t2.source_node_id group by t1.node_id"
How many columns of type 'integer' are present in the lake?,select count(*) from node_column where col_type = 'int64'
Show the creation date for the 5 biggest tables by the number of columns that contain the term 'enterprise' in their names.,select creation_date from node_table where short_name like '%enterprise%' order by num_cols desc limit 5
Show the number of files belonging to each owner account.,"select t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
List all people who own one or more databases in the lake.,select distinct t1.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_database as t3 on t2.target_node_id = t3.node_id
Show all columns of type integer.,select short_name from node_column where col_type = 'int'
Which are the tables owned by the Business API group?,select t3.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'biz_api'
Order nosql databases by modification timestamps.,"select short_name, modified_date from node_nosql order by modified_date desc"
How many columns does the taxi zones table have?,select num_cols from node_table where short_name = 'taxi_zones'
List all columns of type integer.,select short_name from node_column where col_type = 'int'
Print all the metadata for every nosql database in the data lake.,select * from node_nosql
Print all records for password hash columns.,select * from node_column where short_name = 'passwd_hash'
Find records for all columns named 'e_date'.,select * from node_column where short_name = 'e_date'
Calculate the average size of a file for each file extension.,"select extension, avg(fsize) from node_file group by extension"
What is the average file size for each asset owner?,"select t1.node_id, t1.short_name, avg(t3.fsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
How many labels are owned by each asset owner that owns more than 10 labels,"select t1.node_id, t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_label as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name having count(*) > 25"
"Display the name, long name and creation date for all tables in the lake.","select short_name, long_name, creation_date from node_table"
Find all assets with the term 'nyc' in it's name or description.,"select short_name, description from node where short_name like '%nyc%' or description like '%nyc%'"
Print out all metadata records for owner-asset relationships.,select * from edge_own
How many labels are owned by each user?,"select t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_label as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
Give the description for the HR folder.,select description from node_directory where short_name = 'human_resources'
Find tables obtained from the file 'nycc.csv'.,select t3.short_name from node_file as t1 join edge_has_file_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'nycc.csv'
What are the sub folders of the folder 'part6'?,select t3.short_name from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'part6'
Show records for any 5 accounts that hold assets.,select * from node_owner limit 5
What is the average size of files with each different extension?,"select extension, avg(fsize) from node_file group by extension"
Display the names of the 10 oldest classification labels.,"select short_name, creation_date from node_classification order by creation_date asc limit 10"
Which tables were obtained from files with the prefix 'password'?,select t3.short_name from node_file as t1 join edge_has_file_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.short_name like 'password%'
"Display the id, names and creation dates for all business terms.","select node_id, short_name, creation_date from node_business_term"
"List the name, description and creation date for all assets in the lake ordered by their creation dates.","select short_name, description, creation_date from node order by creation_date asc"
List all files in the HR folder.,select t3.short_name from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'human_resources'
Show the number of files and directories contained by each directory that has more than 25 sub items.,"select t1.node_id, t1.short_name, count(*) from node_directory as t1 join edge_has as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name having count(*) > 25"
How many directories are owned by each owner account?,"select t1.node_id, t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
"Show the name, description and type for all databases in the lake.","select short_name, description, database_type from node_database"
How many assets of each type id does each user account own?,"select t1.node_id, t1.short_name, t3.type_id, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name, t3.type_id"
Show all columns of type bool.,select short_name from node_column where col_type = 'bool'
How many columns do each of the 10 newest tables in the lake have?,"select t1.node_id, t1.short_name, t1.creation_date, count(*) from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name, t1.creation_date order by t1.creation_date desc limit 10"
"For each table id, show the number of tables derived from it.","select t1.node_id, count(*) from node_table as t1 join edge_derive_table_table as t2 on t1.node_id = t2.source_node_id group by t1.node_id"
Print all metadata records for ownership relations.,select * from edge_own
How many columns with descriptions are present in each of the tables?,"select t1.node_id, t1.short_name, count(*) from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id where t1.description <> '' group by t1.node_id, t1.short_name"
Find the tables that contain the word 'contact' in their names and also in the name of one or more columns.,select t1.short_name from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name like '%contact%' and t3.short_name like '%contact%'
List the owner for each asset in the database.,"select t3.short_name, t1.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node as t3 on t2.target_node_id = t3.node_id"
Print the maximum column length for the column named 'cult_name'.,select max_col_length from node_column where short_name = 'cult_name'
How many assets of each type id were created in the last 3 days?,"select type_id, count(*) from node where creation_date >= now() - interval '3 days' group by type_id"
Show all directories which a mean subdirectory size greater than 5kb.,"select t1.short_name, avg(t3.dsize)  from node_directory as t1 join edge_has_dir_dir as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name having avg(t3.dsize) > 5"
Sort all databases in the lake from oldest to newest.,select short_name from node_database order by creation_date asc
Order all rdbms by their creation date.,"select short_name, creation_date from node_rdbms order by creation_date asc"
"Show the name, long name and description for the start date column in the bill of materials table.","select t3.short_name, t3.long_name, t3.description from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'bill_of_materials' and t3.short_name = 's_date'"
Sort all owner account by account age.,"select short_name, creation_date from node_owner order by creation_date asc"
Show the number of assets owned by each user that owns more than 50 assets.,"select t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name having count(*) > 50"
Show all records for the job candidate id column.,select * from node_column where short_name = 'job_cand_id'
Show all records for all assets in the lake.,select * from node
Display all the records for 10 oldest assets in the lake by modified date.,select * from node order by modified_date asc limit 10
List all records for the 'cv' column.,select * from node_column where short_name = 'cv'
What is minimum size of a directory owned by each user?,"select t1.short_name, min(t3.dsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
Print all metadata records for classification labels.,select * from node_classification
Show meta data for all the joinable relation records found in the last 24 hours.,select * from edge_joinable_table_table where creation_date >= now() - interval '24 hours'
Print all records for the dim sales territory table.,select * from node_table where short_name = 'dim_sales_territory'
Print creation date for the resume column.,select creation_date from node_column where short_name = 'cv'
Show the number of columns associated with all business terms that have the word 'customer' in their names.,"select t1.node_id, t1.short_name, count(*) from node_business_term as t1 join edge_assoc_term_col as t2 on t1.node_id = t2.source_node_id where t1.short_name like '%customer%' group by t1.node_id, t1.short_name"
List all files in the HR folder.,select t3.short_name from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'human_resources'
Show all the folders belonging to 'mjordan'.,select t1.short_name from node_directory as t1 join edge_own as t2 on t1.node_id = t2.target_node_id join node_owner as t3 on t2.source_node_id = t3.node_id where t3.short_name = 'mjordan'
Show the full table names that were derived from excel files.,select t3.long_name from node_file as t1 join edge_has_file_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.extension = '.xlsx'
Which are the tables contain a column that includes the word 'borough' in it's name?,select t1.short_name from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t3.short_name like '%borough%'
Print metadata records for columns.,select * from node_column
Count all possible joinable tables for each table in the lake.,"select t1.short_name from node_table as t1 join edge_joinable_table_table as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name"
Print description of table count for relational databases that have 35 tables or more.,select description from node_rdbms where num_tables >= 35
Find all columns with word 'school' in it's name within a table whose name starts with the word 'traffic'.,select t1.short_name from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name like 'traffic%' and t3.short_name like '%school%'
Print out all records for unionable table relations in the lake.,select * from edge_unionable_table_table
Show all tables created after June 24 2023.,select short_name from node_table where creation_date >= '2023-06-24'
Count the number of assets owned by each account having more than 30 assets.,"select t1.node_id, t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name having count(*) > 30 "
Order all relational databases by number of tables.,select short_name from node_rdbms order by num_tables desc
Print metadata records for fsq table.,select * from node_table where short_name = 'fact_sales_quota'
How many columns does the model illustration table have?,select num_cols from node_table where short_name = 'model_illustration'
Count the number of columns of each type present in tables in that contain the word 'water' in their names.,"select t3.col_type, count(*) from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name like '%water%' group by t3.col_type"
Count the number of nosql databases in the lake.,select count(*) from node_nosql
"For each directory id, list the number of files directly under it.","select source_node_id, count(*) from edge_has_dir_file group by source_node_id"
List the owner id for every table.,"select t1.short_name, t2.source_node_id from node_table as t1 join edge_own as t2 on t1.node_id = t2.target_node_id"
When was each owner account created?,"select short_name, creation_date from node_owner"
How many columns is each classification associated with?,"select t1.short_name, count(*) from node_classification as t1 join edge_assoc_class_col as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name"
Show all columns of type integer.,select short_name from node_column where col_type = 'int'
Display all records for the employee master database.,select * from node_rdbms where short_name = 'employee_db'
Show all csv files that have 'work' in their names.,select short_name from node_file where extension = '.csv' and short_name like '%work%'
Calculate the mean size of a file for owner account that own more than 20 files.,"select t1.node_id, t1.short_name, count(*), avg(t3.fsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name having count(*) > 20"
Find all classifications belonging to 'zzheng' that were created in the past 30 days.,select t3.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_classification as t3 on t2.target_node_id = t3.node_id where t3.creation_date >= now() - interval '30 days' and t1.short_name = 'zzheng'
Order files by their sizes.,"select short_name, fsize from node_file order by fsize desc"
List all distinct column names that have labels associated with them.,select distinct t1.short_name from node_column as t1 join edge_assoc as t2 on t1.node_id = t2.target_node_id
"For each asset, list whom it belongs to.","select t3.short_name, t1.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node as t3 on t2.target_node_id = t3.node_id"
"Give the name, long name and description for all columns named 'mod_date'.","select short_name, long_name, description from node_column where short_name = 'mod_date'"
Show the 10 most recent files by modification date.,select short_name from node_file order by modified_date desc limit 10
Count all possible unionable tables for each table.,"select t1.node_id, t1.short_name from node_table as t1 join edge_unionable_table_table as t2 on t1.node_id = t2.source_node_id group by t1.node_id"
Which tables have more than 100 rows in them?,select short_name from node_table where num_rows > 100
Find all tables in the lake derived from csv files.,select t3.short_name from node_file as t1 join edge_has_file_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.extension = 'csv'
Find all classifications with the term 'market'.,select short_name from node_classification where short_name like '%market%'
Find all columns that were created in the past one year and contains the term 'id' in it's name.,"select short_name, creation_date from node_column where short_name like '%id%' and creation_date >= now() - interval '365 days'"
Count the number of columns that each business term has been assigned to in the past 10 days.,"select t1.node_id, t1.short_name, count(*) from node_business_term as t1 join edge_assoc_term_col as t2 on t1.node_id = t2.source_node_id where t2.creation_date >= now() - interval '10 days' group by t1.node_id, t1.short_name"
Find columns associated with business terms created in the last 15 days.,select t3.short_name from node_business_term as t1 join edge_assoc_term_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.creation_date >= now() - interval '15 days'
List the description and creation date for the 'employee_db' SQL database.,"select description, creation_date from node_rdbms where short_name = 'employee_db'"
Show all metadata for label association relationships created in the past week.,select * from edge_assoc where creation_date >= now() - interval '7 days'
Show the number of database instance present for each database asset.,"select type_name, count(*) from node_database group by type_id, type_name"
Count the number of columns of each type present in the lake.,"select col_type, count(*) from node_column group by col_type"
Show all metadata records for the DDG table.,select * from node_table where short_name = 'dim_department_group'
Show the average size of a file owned by each user for all users who own more than 10 files.,"select t1.node_id, t1.short_name, count(*), avg(t3.fsize) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name having count(*) > 10"
Show me the name and description for every nosql database in the lake that contains the term 'nvidia' in it's description.,"select short_name, description from node_nosql where description like '%nvidia%'"
Print the names and descriptions of all tables that have more than 25 columns?,"select short_name, description from node_table where num_cols > 25"
Print all bool columns in the data lake.,select short_name from node_column where col_type = 'bool'
Show all the people who created business terms in the last 10 days.,select t1.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_business_term as t3 on t2.target_node_id = t3.node_id where t3.creation_date >= now() - interval '10 days'
Which are the columns that are associated with the classification 'enterprise'?,"select t3.node_id, t3.short_name from node_classification as t1 join edge_assoc_class_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'enterprise'"
Show the creation date for all relational databases.,"select short_name, creation_date from node_rdbms"
Sort all business terms created in the past 5 days by it's creation timestamp.,select short_name from node_label where creation_date >= now() - interval '5 days' order by creation_date asc
How many business terms are owned by each user?,"select t1.node_id, t1.short_name, count(*) from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_business_term as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name"
Count the number of columns that each business term is associated with.,"select t1.node_id, t1.short_name, count(*) from node_business_term as t1 join edge_assoc_term_col as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name"
Show me the description for every nosql database in the lake that contains the term 'nvidia' in it's description.,"select short_name, description from node_nosql where description like '%nvidia%'"
Display classification labels that contain the word 'market'.,select short_name from node_classification where short_name like '%market%'
Print the total number of nosql databases.,select count(*) from node_nosql
Display all records for the bill of materials table.,select * from node_table where short_name = 'bill_of_materials'
How many directory in directory relations are there in the lake that were created in the past 5 days?,select count(*) from edge_has_dir_dir where creation_date >= now() - interval '5 days'
"Print the name, owner id and last modified timestamp for each directory.","select t1.short_name, t2.source_node_id, t1.modified_date from node_directory as t1 join edge_own as t2 on t1.node_id = t2.target_node_id"
Show the type and length for all columns in the lake within tables that have the word 'vehicle' in their names.,"select t3.col_type, t3.max_col_length from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name like '%vehicle%'"
Name any 5 directories that were modified in the past 10 days.,select short_name from node_directory where modified_date >= now() - interval '10 days' limit 5
Find all tables in the lake derived from json files and have more than 50 columns.,select t3.short_name from node_file as t1 join edge_has_file_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.extension = 'json' and t3.num_cols > 50
List the creation date of every single nosql database with 'vehicle' in it's description.,select creation_date from node_nosql where description like '%vehicle%'
Count the number of edges for each directory node.,"select t1.short_name, count(*) from node_directory as t1 join edge_has as t2 on t1.node_id = t2.target_node_id join node as t3 on t2.source_node_id = t3.node_id group by t1.node_id"
Show all metadata for label association relationships.,select * from edge_assoc
Print names of all the fact tables.,select short_name from node_table where short_name like '%fact%'
Count the columns associated with each classification asset in the lake that has 'water' as a prefix.,"select t1.short_name, count(*) from node_classification as t1 join edge_assoc_class_col as t2 on t1.node_id = t2.source_node_id where t1.short_name like 'water%' group by t1.node_id, t1.short_name"
List all the unionable table pairs.,"select t1.short_name, t3.short_name from node_table as t1 join edge_unionable_table_table as t2 on t1.node_id = t2.target_node_id join node_table as t3 on t2.source_node_id = t3.node_id"
Display the names of files in the sales or purchasing folders.,select t3.short_name from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'sales' or t1.short_name = 'purchasing'
Count the number of joinable relationships found for each table in the past 3 days.,"select t1.short_name, count(*) from node_table as t1 join edge_joinable_table_table as t2 on t1.node_id = t2.source_node_id where t2.creation_date >= now() - interval '3 days' group by t1.node_id, t1.short_name"
List 5 derived tables.,select t1.short_name from node_table as t1 join edge_derive_table_table on t1.node_id = edge_derive_table_table.target_node_id join node_table as t2 on edge_derive_table_table.source_node_id = t2.node_id limit 5
Show all the records for the BOM table.,select * from node_table where short_name = 'bill_of_materials'
Which assets are owned by the lab?,select t3.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'cslab'
Display all the metadata for all tables.,select * from node_table
Which columns have at least one business term associated with them?,select distinct t1.short_name from node_column as t1 join edge_assoc_term_col as t2 on t1.node_id = t2.target_node_id
How many columns are present in each of the tables create in the past 7 days?,"select t1.node_id, t1.short_name, count(*) from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id where t1.creation_date >= now() - interval '7 days' group by t1.node_id, t1.short_name"
Show the size of the 10 biggest csv files in the lake sorted in descending order of their sizes.,"select short_name, fsize from node_file where extension = 'csv' order by fsize desc limit 10"
Order all databases by their last modified date.,select short_name from node_database order by modified_date desc
How many files are there in the folder named 'production'?,select count(*) from edge_has_dir_file as t1 join node_directory as t2 on t1.source_node_id = t2.node_id where t2.short_name = 'production'
Sort all relational databases by the number of tables they contain.,"select short_name, num_tables from node_rdbms order by num_tables desc"
Show the creation dates for the 10 oldest assets in the lake.,"select short_name, creation_date from node order by creation_date asc limit 10"
Count the number of boolean columns in the lake.,select count(*) from node_column where col_type = 'bool'
How many relational databases are present in the lake?,select count(*) from node_rdbms
Count total files and folders directly under each folder.,"select t1.short_name, count(*) from node_directory as t1 join edge_has as t2 on t1.node_id = t2.target_node_id join node as t3 on t2.source_node_id = t3.node_id group by t1.short_name, t1.node_id"
Which asset owner account ids own more than 5 assets? How many assets they have?,"select source_node_id, count(*) from edge_own group by source_node_id having count(*) > 5"
List all folders which have a subfolder size greater than 5kb,"select t1.node_id, t1.short_name, avg(t3.dsize) from node_directory as t1 join edge_has_dir_dir as t2 on t1.node_id = t2.source_node_id join node_directory as t3 on t2.target_node_id = t3.node_id group by t1.node_id, t1.short_name having avg(t3.dsize) > 5"
"Select the type id, short name, long name and description for all labels.","select type_id, short_name, long_name, description from node_label"
List all asset nodes in the lake created in the past 4 days.,"select short_name, creation_date from node where creation_date >= now() - interval '4 days'"
When was each business term created?,"select short_name, creation_date from node_business_term"
Sort the relational databases in the lake by the number of tables they contain.,select short_name from node_rdbms order by num_tables
How many columns are present in each of the tables create in the past 7 days?,"select t1.node_id, t1.short_name, count(*) from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id where t1.creation_date >= now() - interval '7 days' group by t1.node_id, t1.short_name"
Show all tables with 10 columns or more.,"select t1.short_name from node_table as t1 join edge_has_table_col as t2 on t1.node_id = t2.source_node_id group by t1.node_id, t1.short_name having count(*) >= 10"
List all csv files in the directory 'part5'.,select t3.short_name from node_directory as t1 join edge_has_dir_file as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'part5' and t3.extension = 'csv'
Show all metadata records for the DDG table.,select * from node_table where short_name = 'dim_department_group'
List all assets whose name contains the word 'voter'.,select short_name from node where short_name like '%voter%'
Which are the databases in the lake owned by 'cslab'?,select t3.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_database as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'cslab'
Show the name and descriptions for all columns associated with the classification 'timestamp'.,"select t3.short_name, t3.description from node_classification as t1 join edge_assoc_class_col as t2 on t1.node_id = t2.source_node_id join node_column as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'timestamp'"
"For each classification that has 'water' as a prefix, how many columns are associated with it?","select t1.node_id, t1.short_name, count(*) from node_classification as t1 join edge_assoc_class_col as t2 on t1.node_id = t2.source_node_id where t1.short_name like 'water%' group by t1.node_id, t1.short_name"
Display the creation date for all tables in the lake.,select creation_date from node_table
How many tables are derived from the table 'nycc'?,select count(*) from node_table as t1 join edge_derive_table_table as t2 on t1.node_id = t2.source_node_id join node_table as t3 on t2.target_node_id = t3.node_id where t1.short_name = 'nycc'
Order all csv files by their creation date from the newest to the oldest.,select short_name from node_file where extension = '.csv' order by creation_date desc
Print all records for the 25 most recently modified assets.,select * from node order by modified_date desc limit 25
Print out the creation date and owner for every file in the data lake.,"select t3.short_name, t3.creation_date, t1.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node_file as t3 on t2.target_node_id = t3.node_id"
Order nosql databases by modification timestamp.,"select short_name, modified_date from node_nosql order by modified_date desc"
Show all columns of type string.,select short_name from node_column where col_type = 'string'
"For each asset, list whom it belongs to.","select t3.short_name, t1.short_name from node_owner as t1 join edge_own as t2 on t1.node_id = t2.source_node_id join node as t3 on t2.target_node_id = t3.node_id"
Show the number of unionable relationships found for each table in the past 24 hours.,"select t1.node_id, t1.short_name, count(*) from node_table as t1 join edge_unionable_table_table as t2 on t1.node_id = t2.source_node_id where t2.creation_date >= now() - interval '24 hours' group by t1.node_id, t1.short_name"
List ids for all folders that contain more than 100 files.,"select source_node_id, count(*) from edge_has_dir_file group by source_node_id having count(*) > 100"
